Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
Flucetosulfuran(WG) 10% Min.,779,"1. M/s. LG Life Science Ltd., Mfg. Site:  -  19,  Ijin-ro,  Onsan-eup, Ulju-gun,       Ulsan,       Korea, Corporate        Office:        LG Gwanghwamun   Building,   58, Saemunan-ro,  Jongnogu,  Seoul, Korea Change to M/s LG chem. Ltd.,               128Yeoui-daero, Yeongdeungpo-gu,          Seoul, 07336,    Republic    of    Korea. (validity  upto  29/09/2025)   (by m/s L.G Life Science India Pvt.
Ltd., Delhi in 386th RC.)",
"Flumioxazin  Technical  98
% w/w Min",701,"1.  M/s Sumitomo Chemical Co., Ltd. 27-1, Shinkawa 2- chome, Chuo-ku,   Tokyo   104-8260. Through  Supplier-  same  as manufacturer     valid     upto- 27.03/2018)            (By-.M/s Sumitomo Chemical India Pvt. Ltd., in 387th RC)",-
Fluxapyroxad 250 g/l + Pyraclostrobin 250 g/l SC for import,"798
637","M/s.   BASF   Sparks,   LLC, 14284  Highway  42  North,
Sparks,     Georgia     31647, USA.(  By  BASF  India  Ltd,
Mumbai )",
Fluxapyroxad 167 g/l + Pyraclostrobin 333 g/l SC for import,"798
637","BASF  Espanola  S.L.  Ctra. Nacional  N  340  Km  1,156
43006 Tarragona Spain
(by       BASF   India   Ltd., Mumbai, in 386th RC)",.
Famoxadone Technical 96% min,569,"1.     DuPont Iberica, SA-33469, Tamon-Aviles, Asturiaz, Spain Change  to M/s. DuPont Austurias S.L., Valle de Temon Nubledo, 33469 Tamon-Carreno, Aviles, Ausurias, Spain through supplier DuPont International Operations Sarl, Chemin du Pavillon 2, CH-1218 Le grand Saconnex, Geneva, Switzerland.
2.     E.I. DuPont de Nemours &",
,,"Co. DuPont Crop protection,",
,,Mobile Manufacturing,
,,"Center, 12650 Highway 43, P",
,,"O Box 565, Axis, Alabama,",
,,USA through supplier,
,,DuPont International,
,,"Operations Sarl, 2 Chemin du",
,,"Pavillon, 1218 Le grand",
,,"Saconnex, Geneva,",
,,Switzerland.,
"Fenamidone 10% +
Mancozeb 50% WDG,",649,"Bayer S.A.S., 16 rue Jean- Marie Leclair 69009, Lyon,",
,,France,
"Fenamidone 4.44% +
Fosetyl AI 66.66% WDG,","649
363","1.   Bayer S.A.S., 16 rue Jean- Marie Leclair 69009, Lyon, France,",
"Fenarimol Technical 95% min.
{Banned vide S.O. 3951(E)
dated 8th August, 2018}",421,"Dow Agro Sciences, USA",
"Fenzaquin Technical 97.5% min., {Banned vide
S.O. 3951(E) dated 8th August, 2018}",570,"Pentagon   Fine   Chemicals, Halibank, Widnos, Cheshire, WA8    8NS,    UK.    Name
change.   To   M/s   Vertellus specialities      UK:      Ltd., Halebank windnes, Cheshire, WA8  8NS  (By  E.I.  Dupont India Ltd.)
Suppliers  –   Gowan  Commercio International     E     services Limitada (GCIS) Avendia do Infante      50,       9004-521
Funchal,  Madeira,  Portugal
PT 511172400",
Fenitrothion Technical 95% min.,226,"1.     Novartis Crop Protection, AG, Switzerland.
2.     Bayer Crop Science AG, Germany.
3.     Sumitomo Chemical Co.
Ltd., Japan.","1.      Rallis India, Bangalore
2.     Bayer Crop Science Ltd., Mumbai."
"Fenobucarb (BPMC) Technical
95% min.",147,"1.     Bayer CropScience LP, 2TW, Alexander   Drive,   Research Triangle       Park,       North Carolina 27709, USA (Name of  previous  source  is  M/s. Aventis    CropScience    LP, 2TW,     Alexander     Drive, Research    Triangle     Park, North  Carolina  27709,  USA this  was  changed  in  230th RC)
2.     Rhone Poulene Ltd., Seoul, South Korea.
3.     Hunan Haili Chemical Industry Co. Ltd. 251, 2nd Section Furong Road (M), Changsha Hunan, China
4.     Bayer Crop Science LP, USA",
"Fenoxaprop-p-Ethyl Technical
88% min.",468,"1.     Bayer   Crop   Science   AG, Germany.,   change   to   M/s Bayer   AG,   Germany,   (By M/s      Bayer   CropScience Ltd.in 392nd RC.)
2.     Hangzhou            Udragoan Chemical    Co.    Ltd.   172, Zhangjiadun  Road,  Tangxi, Yuhang,             Hangzhou, Zhejiang,      P.R.      China. Through     Supplier:     M/s. Willwodd   (Hangzhou)   Co.
Limited,   Room   No.   2003,","1. M/s Cheminova India Ltd., Mumbai for 88.0% Min (w/w (TIM Vs TIT) under section 9(3) of the Insecticides Act, 1968.in 354th RC
2. M/s Atul Ltd., 88% min.,9(4), in 386th RC"
,,"Golden    Plaza,    No.    118, Qingchun   Road,   Xiacheng District,    Hangzhou    City, Zhejiang Province, China.",
Fenpropathrin Technical 90% min.,387,"Sumitomo Chemical Co. Ltd., Japan","1.Sumitomo Chemicals India Pvt. Ltd, Mumbai 2.Bhaarat Rasayan Ltd., New Delhi 90.0% min. 9 (4)"
"Fenpyroximate Tech (95.9%
min) (98% min.), 98.5% min.",619,"Nihan Nohyaku Co. Ltd., Tokyo 2-5, Nihonbashi 1- Chome, Chou-ku, Tokyo, Japan","1.Isagro (Asia) Agrochemicals Pvt. Ltd., Mumbai 2.GSP Crop Science Pvt. Ltd., Ahmedabad 3.Excel Crop Care Ltd., Mumbai
4.Jai Shree Rasayan Udyog Ltd., New Delhi, (98% min.), 9 (4)
5. M/s Best Crop Science LLP, 98.5% min.,9(4), in 386th RC"
"Fenthion Technical 93% min.
{Banned vide S.O. 3951(E) dated 8th August, 2018}",61,"Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany  ( By M/s  Bayer CropScience Ltd. in 392nd RC)","Nitapol Industries, west Bengal(82.5% min)"
Fenvalerate Technical 90% min.,334,"Sumitomo chemical Co. Ltd., Japan.","1.     Rallis India, Mumbai.
1.     RPG Life Sciences Ltd., Mumbai.
2.     Megmani Organics Ltd., Ahmedabad
3.     Coromandel International Ltd.
4.     Hyderabad Chemical Products Pvt. Ltd.
5.     United Phosphorus Ltd., Mumbai
6.     Tagros Chemicals India Ltd., Chennai
7.      Sudarshan Chemical Industries Ltd., Pune
8.     Gujarat Insecticide Ltd., Ankleshwar
9.     Bharat Rasayan Ltd., Delhi"
"1.  Fipronil Technical 90%, 92% min,",520,"1.  BASF    Agri.    Production SAS, Elbeuf, France (90%).","1.      Gharda Chemical Ltd., Mumbai (TIM)
2.      Insecticides India Ltd."
"95%min.,
2.  Fipronil 0.03% gel, 0.05% GEL
3.  Fipronil 80% WG",,"{Previous Source name was Bayer    CropScience    S.A. Lyon,   France   which   was changed in 273 RC (Name of  previous  source  is  M/s. Aventis  CropScience  S.A. Lyon,    France    this    was changed in 230th RC)}
2.  Bayer CropScience Hangzhou Co. Ltd., No. 5 Road, Hangzhou Economic & technological Development Zone, Hangzhou, 310018, China (90%).
3.  Anhui Huaxing Chemical Industry Co. Ltd., Changjing, Mid. Rd. Hefei, Anhui, China
4.  Zhejiang Hisun Chemicals Co. Ltd. 97, Waisha Road, Jiaojiang China (By M/s Hilfil Chemicals Pvt. Ltd)
5.  Bayer SAS, Bayer Environmental Science, 16 rue Jean-Marie Leclair 69009, Lyon – France
6.  Bayer Crop Science LP, USA, St. Louis supplied by Bayer Crop Science AG, Germany and Bayer Crop
Science, LP, USA, St. Louis","3.      Bhagiratha Chemicals & Industries Ltd.
4.      Punjab Chemicals and Crop Protection Pvt Limited
5.      PI Industries Limited
6.      Coromandal International Ltd.,
7.      Bharat Rasayan Ltd., New Delhi (92%  min.)
8.      Hyderabad Chemicals Products Ltd., Hyderabad
9.      Pest Control India (Pvt) Ltd, Mumbai (92% min.)
10.      Atul Ltd., Valsad
11.      Meghmani Organics Ltd., Ahmedabad
12.      Tagros Chemicals India Ltd., Chennai (92%)
13.      Rallis India Ltd.
14.      HPM Chemicals & Fertilizers Ltd.,
15.      Best Crop Science LLP, Gajraula, UP
16.      Sujanil Chemo Industries, Pune 92.0% Min. 9 (4)
17.       Excel Phosphorus (P) Ltd., 92.0% Min. 9 (4)
18.      Sahib Pesticides, Karnal, 92.0% Min. 9 (4)
19.      M/s Synergia Science Pvt. Ltd. 92.0%, 9(4)  in 342th
20.      Anu Products Ltd., New Delhi, 92.0% Min. 9 (4)
21.      Bayer Crop Science Ltd. Mumbai.
22.      M/s Bonageri Crop Science Ltd., 92% min ,9(4), in 386th RC
23.      M/s Crimsun Organics Pvt. Ltd., 92.0% Min. 9(4) in 397th
RC."
,,,
,,"7.  M/s Bayer SAS, Bayer Crop Science Industrial Operations Marle, France.Through Supplier: M/s- Bayer SAS, Bayer Environmental Science, Lyon, France. Fipronil 0.05% GEL, FI/9(3). (M/s Bayer Crop Science in 408th
RC.  ) .",
Flonicamid 50% WG (WRT),731,---,"United Phosphorous Limited, Mumbai"
Flubendiamide Technical 95% min,714,"1.  Nihon Nohyaku Co. Ltd., Tokyo (Japan), Through Supplier:  Sojitz corporation, Minato-ku, Tokyo, Japan.
2.  Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany ( By M/s  Bayer
CropScience Ltd. in 392nd RC.)",
Fluazifop-p-butyl tech,732,"Syngenta Ltd., Huddersfield, United Kingd",
Flufenacet Tech. 95% min,573,"1.     Bayer Crop Science LP, P.B. No 4913 Kansas City, Missouri, USA-64120
2.     Bayer Crop Science AG, Monheim, Germany, change to M/s Bayer AG, Germany ( By M/s  Bayer CropScience
Ltd.in 392nd RC.)",
Fluchloralin Technical 55% min. & 65% min.,146,"1.     BASF Wayandotte Corpn, USA",
,,"2.     BASF, West German.",
Flufenoxuron Technical 95% min.,423,"1.     Great Lakes (UK) Ltd, Halebank Widnes Cheshire WA8, 8 NS, UK. (earlier BASF Agro-production, France).",
Flufenoxuron Tech. 94% min.,423,"1.      Great Lakes (UK) Ltd. Halebank Widnes, Cheshire WAB 8NS UK.
2.     Agrishell S.N.C. Zone, France.
(through Shell International
Chemical Co. Ltd.)",
Flufenzine (Flumite) Technical,665,"Agro Chemie Pesticides mfg, Trading & Distributing Co. Ltd, Hungary",
Fluopicolide Technical 95.5% min.,740,"Bayer (Schweiz) AG, Switzerland",
Fluopyram Technical 94.5%,782,"Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany ( By M/s  Bayer CropScience Ltd. in 392nd RC.)",
Fluopyram Technial 94.5% w/wmin,811,"M/s Bayer CropScience AG , Germany  Supplier same as manufacturerer Valid upto 31.01.2024  (By Bayer CropScience limited, Mumbai in 357th RC for
94.5% w/wmin)",
Flupyradifurone Tech. 96% Min,830,"1.         Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany ( By",
,,M/s  Bayer CropScience Ltd. in 392nd RC.),
Fluxapyroxad Technical 98% min,827,"M/s  BASI-  SE,  Carl-Bosch- Strasse       38       D-67056 Ludwigshafen,   Germany'(by M/s     BASF    India     Ltd. Mumabi)",
Fluxapyroxad 62.5% + Epoxyconazole 62.5%g/L EC,"827
548","M/s   BASF   Espanola  S.L Ctr. Nacional 340 Km 1156,
43006  Tarragona,  Spain(by M/s    BASF    India    Ltd.
Mumbai)",
Fluxapyroxad 333 g/l FS,827,"M/s.  BASF  Agri-Production S.A.S.,    Zone    Industrielle Lyon  Nord,  Rue,  Jacquard 69727 Genay Cedex, France. '(by  M/s  BASF  India  Ltd.
Mumabi)",
"Flusilazole Technical 92.5% min, 95%min.",,"1.  DuPont  de  Nemous  (France)
S.A.   DU   Pont   Agricultural Products,82, Witelshein – B.P. 9, Cernay, France
2.  Anhui    Huaxing    Chemical Industries   Co.   Ltd.,   No.6, Hongfeng  Road,  Hefei  P.R. China  Valid  upto  18.12.2018 (By  M/s  Dhanuka  Agritech. Ltd.,  New  Delhi  for  95.0  %
min)",
Fluthiacet-methyl Tech. 95% min.,859,"1.  M/s  Jiangsu  Lianhe  chemical Technology    Co,    Limited, Weiyi    Road,    Chenjiagang",
,,"Chemical     Industry     Area, Xianshui,  Yancheng,  Jiangsu Province, China, 224631
Supplier:    FMC    corporation, 2929         Walnut         street, Philadelphia, Pennsylvania, PA 19104,      USA.(valid      upto
October  10,  2021)  (By-  FMC
India pvt Ltd, Bangalore,  95% min  in 386th RC)",
Fomesafen Technical 95% min,739,"M/s Jiangsu Changqing Agrochemical   Co. Ltd., No. 1 Jiangling Road Putou Town, Jiangdu, Jiangsu-
225 218 PRC Valid upto
29.04.2018. (M/s. Syngenta India Ltd., Pune)",
Fluvalinate Technical 88% min.,395,"Novartis Crop Protection, AG, Switzerland.",Syngenta India Ltd.
Formothion Technical 50% min.,234,"Novartis Crop Protection Inc., USA",
Forchlorfenuron  (CPPU) Technical 98% min.,645,,"1.   Omega Fine Chemicals Mumbai
2.   Mauni Agro Chemical Industries Pvt. Ltd. Kopargaon.
3.   Sunshine Fine Chemsol India Pvt. Ltd.
4.  Matrix Biocontrol (India) Pvt. Ltd., Nashik, 98% min9(4)"
Forchlorfenuron 0.12%EC,645,"AIZChem Trostberg GmbH, Postfach-1262, D-83303, Trostberg, Germany",
Fosetyl-Al Technical 95% min. 96% min*,363,"1.. Bayer, S.A.S, 16 rue Jean- Marie Leclair   69009, Lyon,",
,,"France  Supplier  Name  M/s Bayer    CropScience,    AG, Germany       Valid       upto 01.04.2019 (M/s Bayer Crop Science Ltd., Mumbai)
2.*M/s     Zhejiang     Jiahua Chemical   Co.   Ltd.,   China Supplier  Name  M/s  Bayer CropScience,  AG,  Germany (M/s   Bayer   Crop   Science Ltd., Mumbai)",
Gibberellic Acid Technical 90% min.,236,"1.   Valent Bioscience Corp.
2.   Polfa Pharmaceutical Works, Poland
Supplied by: Ciech Poland.
3.   Phylaxia Veterinary Biologicals, Budapest, Hungary. Supplied by: Medinpex, Hungary.
4.   Zeneca Ltd., UK.
5.   Hunan Biological Medicine Factory, China.through Hunan Yahua Seed Corporation Ltd., Changsa, China.
6.  Capd, Abbot lab, USA","1.  Shankar & Sastry Ltd., Bangalore
2.  Krishi Rasayan Pvt. Ltd., Kolkata
3.  Punjab Chemicals & Crop Protection Ltd."
Glufosinate Ammonium Technical,274,"1.     Bayer   Crop   Science   AG,",
50% min. (LC),,"Frankfurt,    Germany.    By Bayer    CropScience    Ltd., India  LCI)  change  to  (M/s Bayer  AG,  Germany),  (By M/s  Bayer CropScience Ltd. in 392nd RC
2.     Bayer Crop Science LP, Michigan, USA",
"1.  Glyphosate Tech. 95% min.*
2.  Glyphosate IPA Salt Technical 62% min.",327,"1.     Monsanto Chemicals Co. Ltd., USA
2.     Hebei Golhil Chemical, Co. Ltd, Tongda Road, Jinzhou city, 052260, Hebei, China Through supplier
Hebei Bestar commerce and Tradel co. Ltd., 148, East Yuhua Road, Shejiazhuang, 050031, China (95% Min)
3.     Cheminova A/s P.O Box 9, DK-7620, Lemvig, Denmark.
3.  M/s Hubei Sanonda Co. Ltd., 93, East Beijing Road, Jingzhou, Hubei, China 434001. Change to M/s ADAMA ltd,. 93, East Beijing Road, Jingzhou, Hubei, China 434001. Through  supplier:
M/s ADAMA Fehrenheit B.","1.     Atul Ltd., Valsad
2.     Excel Crop Care Ltd. Ltd., Mumbai
3.     Gharda Chemicals Ltd., Mumbai.
4.     Chemtura Chemicals India Pvt. Ltd
5.     Ravi Organics Ltd.
6.     Meghmani Industries Ltd.
7.     Insecticide India Ltd.
8.    Crystal Phosphates Ltd
9.     Hyderabad Chemicals Products      Ltd.,  Hyderabad
10.   Krishi Rasayan Pvt. Ltd., Kolkata
11.   United Phosphorus Ltd., Vapi
12.   Punjab Chemicals & Crop Protection Ltd
13.   Rotam India Ltd
14.   G S P Crop Science Ltd
15.   Siris Crop Science Ltd., New Delhi
16.   Jai Shree Rasayan Udyog Ltd, Nathupur, Sonepat (Haryana)
17.   Heranba Industries Ltd, Mumbai
18.   Shivalik Rasayan Ltd, New Delhi"
,,"V, Curacao Branch, (Valid upto-07/06/2022), (By M/s ADAMA  India Pvt. Ltd. . 95% min. in 408th RC.)
4.     M/s Jiangxi Jinlong Chemical Co.  Ltd.  Tashan  Industrial Park   of   Leping   City   of Jiangxi Province, China with supplier        name        M/s Willowood  (Hangzhou)  Co. Ltd. Room No. 2003, Golden Plaza   No.   118,   Qingchun Road,    Xiacheng,    District, Hangzhou    city,    Zhejiang Province, China
5.     *      Nantong      Jiangshan Agrochemical  &  Chemicals Limited  Liability  Co.,  No. 998       Jiangshan       Road, Nantong      Economic      & Technological   Development Zone,    Nantong,    Jiangsu, China   with   supplier   name M/s  Sinochem  International Corporation,   19/F,   Jinmao Tower,    No.    88    Century Boulevard     Pudong     New Area, Shanghai 200121, P.R. China.  (By  M/s  Sinochem India   Company   Pvt.   Ltd.,
New Delhi)","19.   Sharda worldwide Exports Pvt Ltd, Mumbai
20.   Cheminova Inida Ltd., Gujtrat
21.   Sabero Organics Gujarat Ltd.
22.   Bharat Rasayan Ltd., Delhi (95%)
23.   Exel Industries Ltd., ROHA (Maharastra)
24.   HPM Chemicals & Fertilizers Ltd., N. Delhi
25.   Maheshwari Biochemical Pvt. Ltd., Sirsa
26.   Best Crop Science LLP, Gajraula, UP
27.   Sonachi Industries Ltd. 95.0 % min. 9(4)
28.   Samradhi Crop Chemicals, 95.0 % min. 9(4)
29.    Sun Pesticides Pvt. Ltd 95.0 % min. 9(4)
30.   Hemani Industries 95.0 % min. 9(4)
31.   Agrisol (India) Pvt. Ltd., , 95.0 % min. 9(4)
32.   Agrico Organics Ltd., New Delhi, 95.0 % min. 9(4)
33.   Baroda Agrochemials Ltd., Gujarat, 95.0 % min. 9(4)
34.   M/s Aristo Biotech Life Sceince Pvt. Ltd., 95.0 % min. 9(4), in 401st RC.
35.   M/s Ichiban Crop Science Ltd., 95.0 % min. 9(4), in 405th
RC."
,,,
Halosulfuran Methyl 75% WG,574,"1.  M/s Nisan Chemical Industries Ltd,          Kowa-Hitotsubashi Building,     7-1,     3-Chome, Kanda-Nishiki-cho,   Chiyoda- Ku,   Tokyo-101-0054.   Japan Change to
M/s       Nisan       Chemical Corporation, 5-1, Nihonbashi, 2-Chome,   Chou-Ku,   Tokyo (10136119), Japan
Through  supplier  M/s  Nissei Corporation  10-5  Nihonbashi
–Honcho-1 CHome, Chou-ku, Tokoyo  ,  Japan   (  By   M/s Dhanuka  Agritech ltd.,  New Delhi  in 349RC )",
Hexaconazole Technical 92% min.,476,,"1.      Rallis India Ltd.
2.      Heranba Industries Ltd., Valsad
3.      Tagros Chemicals India Ltd, Chennai
4.      Gharda Chemicals Limited, Mumbai
5.      Bharat Rasayan Limited, New Delhi
6.      Punjab Chemicals & Crop Protection Ltd
7.      Crystal Phosphates Ltd
8.      Mega Innovative Crops Pvt. Ltd., Ankleshwar
9.      Shriya Chemicals Pvt Ltd, Mumbai
10.    Indofil Industries Ltd., Andheri(E), Mumbai
11.    Shivalik Rasayan Ltd, New Delhi
12.    Crop Life Science Ltd, Ankleshwar
13.    Atul Ltd., Valsad
14.    Hyderabad Chemical Products Pvt. Ltd.
15.    Coromandel International Ltd."
,,,"16.    Astec Life Sciences Ltd., Mumbai
17.    Meghmani Industries Ltd., Ahmedabad
18.    Sudarshan Chemical Industries Ltd., Pune
19.    Best Crop Science LLP, Gajraula, UP
20.    HPM Chemicals & Fertilizers Ltd., N. Delhi
21.    Ambey Laboratory Pvt. Ltd. New Delhi 92.0% Min 9 (4)
22.    Agrico Organics Ltd. New Delhi, 92.0% Min 9 (4)
23.    M/s Hemani Indutires Ltd 92.0% Min 9 (4)
24.    M/s Agr-Eh Technologies Pvt. Ltd., 92.0% Min 9 (4) in 395th RC"
Hexazinone 13.2% + Diuron 46.8% WP,478,M/s Sun Pesticides Pvt. Ltd.,"25.M/s Insecticides India Ltd.,(Diuron Technical),98% min,9(4), in 386th RC"
"Hexythiazox Technical,",504,"1.     Nippon Soda Co. Ltd., shin- Ohtemachi Blg 2-1,2-Chome Ohtemachi, Chiyoda-ku, Tokyo, Japan
2.     Zhejiang Heben Pesticide & Chemical Co., Ltd., Liandun Road, Houjing Village, Yanjiang Industrial Area, Yangyi, Wenzhou, Zhejiang,
P.R China. Through Supplier Chongqing Shining Fine Chemical Co., Ltd., 28-3 Citic Commerce No. 5 Yanghe San Cun Jiangbei District Chongqing, China (97%)
3.      Jiangsu Runze Agrochemical Co. Ltd., No. 16, HouyangHuagong Yuan Qu
Road, Jintan, Jiangsu, China.","1.     Coromandel International Ltd., Secunderabad"
,,"valid upto May, 10.2020 with Supplier M/s. Willowood (Hangzhou) Co. Ltd., Room 2003, Golden Plaza No. 118, Qingchun Road, Xiacheng District, Hangzhou City, Zhejiang Province, China. (M/s willowood Chemicals Pvt. Ltd., Kolkata  TI v/s
TIM 95.0% Min.)",
"Hydrogen cyanamide Technical
49% min.
50% Sl Tech",576,"1.     Nippon Carbida Ind. Co. Inc. NCL Bldg. No. 11-19-2- Chomeoconan Mineto 108- 8466, Japan.
2.     Degussa Ag, Postpach-1262, D-83303, Trostberg, Germany.
3.     Alz Chem Trostberg GmbH, Postfach  1262, D -83303
trostberg, Germany.","1.     Ruchichem, Pune
2.     Mauni Agro Chemcal Industries Pvt. Ltd., Kopargaon."
Imazamox Technical 93% w/w min.,641,"BASF Corporation, Hannibal Plant, 3150 Highway JJ, Palmyra Missouri, USA .(By M/s BASF India Ltd., Mumbai)",
"1.  Imazethapyr Technical 90% min, 93% min., 98% min *, 97.00% w/w min.,  .",480,"1.     BASF Corporation, Hannibal, Missouri, USA
2.     BASF Corporation, 14385 West Port, Arthur road, Route# 4, Box 327, Beaumont TX 99905, USA
(90% min)","1.Astec Life Sciences Ltd. Mumbai.
2. Best Crop ScienceLLP, 97.0% Min. 9(4)
3. M/s Agrow Allied Venture Pvt. Ltd 93% min 9(4)
4. Agrico Oraganics Ltd New Delhi 97% min 9(4)"
,,"3.     ADAMA, Brazil S/A, Rua Antonio pedro de Souza, 400, Parque Rui Barbosa, 86031610, Londrina, PR Brazil (93% min.)
4.     Shenyang Research Institute of Chemical Industry, No. 8, Shenliaodong Road, Shenyang, Liaoning Province, P.R. China. Through Supplier: Willowood Limited, 17th Floor, Sea view Plaza, 283- Shau Kei Wan Road, Shau Kei Wan, Hong Kong.
5.     Jiangsu Flag Chemical Industry Co. Ltd. Changhfenghe Road, Nanjing Chemical Industrial Park, Luhe district, Nanjing, china- 210047.
6.     Shendong Cynda Chemical Co. Ltd., Economic Dovelopment Area, Boxing County, Shandong, P.R. China regd for 98% min Supplier: Shendong Cynda Chemical Co. Ltd., Economic Dovelopment Area, Boxing County, Shandong, P.R. China
7.     *M/s Henghui Jingmei","5. Gharda Chemicals Ltd Mumbai, 97% min 9(4)
6. Meghmani Industries Ltd., 97% min 9(4)
7.Krishi Rasayan Exports, New Delhi, 97% min 9(4) 8, GSP Crop Science Pvt. Ltd., 97% min 9(4) 9.Maheshwari Biochemical Pvt. Ltd., Sirsa, 9(4)
10.  UPL Limited, Mumbai., 97% min 9(4)
11. M/s Godvari Farm Chemicals Industries Ltd., 93% min 9(4), in 394th RC
12. M/s Shivalik Rasayan Ltd., 97% min 9(4), in 401st RC
13. M/s Sahib Pesticides, 93% min 9(4), in 405th RC
14. M/s Bhagiradha Chemicals & Industries Ltd.,93% w/w min. in 393rd RC"
,,,
,,"Chemical Industrial Co. Ltd., Xiaozhang Industrial Zone, Zaoqiang Country, Hebei, China with supplier name M/s Hebei Bestar Commerce and Trade Co. Ltd., 6-3-203, No. 66, Dianda Street Xihua, District Shijiazhuang, China
8.     BASF Agriculture Products de Puerto Rico Route No. 2 km 47.3. P. O. Box 43, Manati, Puerto Rico 006704
USA",
Imazamox 35% + Imazethapyr 35%WG,38,"BASF Agriculture Products de Puerto Rico Route No. 2 km 47.3. P. O. Box 43,
Manati, Puerto Rico 006704
USA",
"Imidacloprid Technical 94% min., 95%min.",510,"1.   Bayer Crop Science AG, Germany., change to M/s Bayer AG, Germany), (By M/s  Bayer CropScience Ltd. 94% in 392nd RC )
2.  Suzhou Bianzing Agro Biochemical Co. Ltd., Modu, Suzhou, Jiangsu, China
3.  Qingdao KYX Chemical Co., Ltd. Shuiji Industry Zone Laixi District, Qingdao, China, Zip-266071
4.  M/s Rudong Huasheng","1.     Cheminova India Ltd., Mumbai
2.     Excel Crop Care Ltd., Mumbai
3.     Nagarjuna Agrichem, Hyderabad
4.     Atul Ltd., Valsad
5.     Rallis India, Bangalore u/s 9(3) approved in 216th RC)
6.     Gharda Chemicals Ltd., Mumbai
7.     United Chemicals, Hyderabad
8.      Krishi Rasayan Pvt. Ltd.
9.     Crystal phosphates Ltd.
10.   Shogun Organics Ltd., Mumbai
11.   Sudarshan Chemical Industries Limited, Pune
12.   Astec Chemicals Pvt Limited, Mumbai
13.   Tagros India Limited, Chennai
14.   Mitsu Ltd, Vapi"
,,"Chemical Co. Ltd.Yangkou chemical industrial park, Yanhai Jiangsu china valid upto10.10.2020
Supplier: M/s Shenzhen Sushan Technology Co., Ltd. Room No. 2410, Block C Huangdu Plaza, Guangdong Province China (ByM/s Krishi Rasayan Export Pvt.Ltd,)
5.  Hubei Sanonda Co. Ltd., 93 East Beijing Road, Jingzhou, Hubei, China, Change  to M/s ADAMA Ltd., 93, East Beijning Road, Jingzhou, Hubei, China 434 001 added supplier through  M/s ADAMA Celsius B. V, Curacao Branch. (Valid upto 19.12.2019) (By M/s ADAMA India Pvt. Ltd. Telangana-in 408th RC. )","15.   Hyderabad Chemical Products Limited, Hyderabad
16.   PI Industries Limited, Gurgaon
17.   Coromondel International Ltd.
18.   Punjab Chemicals and Crop protection Ltd. Mumbai
19.   Salvi Chemical Industries, Mumbai
20.   Bharat Rasayan Ltd, New Delhi
21.   Insecticide India Ltd, Delhi
22.   Parijat Agencies, New Delhi
23.   Artee Graphite Pvt Limited, Faridabad
24.   Dhanuka Pesticide Limited, Gurgaon
25.   India Pesticide Ltd, Lucknow
26.   Chemtura Chemicals India Pvt
27.   Sharda Worldwide Exports Pvt Ltd
28.   Sabero Organics Gujarat Ltd
29.   Shogun Organics Ltd., Mumbai
30.   Hindustan Insecticides Ltd, New Delhi
31.   Hermaba Industries Ltd.
32.   Megmani Organics Ltd., Ahmedabad
33.   Bayer Vapi Pvt. Ltd., Vapi, Gujarat
34.   Bhagiradha Chemicals & Industries Ltd.
35.   HPM Chemicals & Fertilizers Ltd., N. Delhi
36.   M/s. Mahamaya Lifescience Pvt. Ltd.
37.   Best Crop Science LLP, Gajraula, UP
38.   Excel Phosphate Pvt. Ltd., 94% min, 9 (4)
39.   Nutec Life Science Pvt. Ltd., Pune, 94% min, 9 (4)
40.   M/s Mega Innovative Crops Pvt. Ltd., 94% min, 9 (4) in 393rd RC
41.   M/s Godvari Farm Chemicals Industries Ltd., 94% min, 9
(4) in 397th  RC),"
"Imidacloprid
2.15% Gel,  0.03% w/w*,
0.50% RB**",510,"1.     Bayer SAS, Bayer Environmental Science. 16 rue Jean-Marie Leclair 69009",
,,"Lyon, France
2.     *M/s Bayer S.A.S., Bayer CropScience Industrial Operations, Marle, France Supplier: Bayer S.A.S. Bayer Environmental Science, Lyon, France. (0.03% gel by M/s Bayer Crop Science Ltd., Mumbai)
3.     **Denka International b.v. Netherland
Supplier: Bayer Environmental Science S.A.S., Lyon, France (By** Bayer CropScience Ltd., India FI)
4.  Bayer Crop Science AG, Germany., change to (M/s Bayer AG, Germany ( By M/s Bayer CropScience Ltd, in
2.15% Gel, in 392nd)",
Imiprothrin Technical 90% min.,608,"Sumitomo Chemical Co Ltd., Japan",
Indoxocarb Technical 66.8% min.,577,"E.I. DuPont de Nemours & Co. Mobile plant, Agricultural Products Manufacturing Center, Highway, 43-Azis-Alabama 365058 USA.","1.     Gharda Chemicals Ltd., Mumbai
2.     Atul Ltd., Valsad (67% min)
3.     Hyderabad Chem. Prod. Ltd., Hyderabad
4.     Bhagiradha Chemicals & Industries Ltd
5.     Heranba Industries Limited
6.     Insecticide India Ltd
7.     Bharat Rasayan Ltd
8.     Meghmani Organics Limited
9.     Tagros Chemicals India Ltd"
