Common Name,"IUPAC
name (Serial number in Schedule)",Approved Source for Import (M/s),Indigenous manufacturers (M/s)
"Atrazine Technical 80%, 95% min*.",140,"1.      Agan Chemical Mfrs. Ltd., Israel
2.      Makhteshim Agan Beer- Sheva, Israel.
3.      Intrachem, SA, Switzerland
4.      Fisons Ltd., Houston, UK
5.      Oxon Italia, Italy.","1.      Rallis India Ltd., Bangalore
2.      Pesticides India, Udaipur
3.      Nagarjuna Agrichem, Hyderabad
4.      GSP Crop Science Pvt. Ltd. Ahmedabad
5.      Insecticide India Ltd
6.     Megmani Industries Ltd.*
7.     Best Crop Science LLP, Gajraula, UP
8.     Maheshwari Biochemicals Pvt.Ltd.. 95.0% min, 9(4)."
,,"6.      Zhejiang Zhongshan Chemical Industry Group Co., Ltd. Zhongshan, Xiaopu, Changxing, Zhejiang Province, 313 116, China. (for 95%min) Supplier:
M/s. Hebei Bestar Commerce and Trade Co. Ltd., 6-3-203 No. 66 Dianda Street, Sinhua District, Shijiazhuang, China
7.       Shandong Qiaochang Chemical Co. Ltd., South of Xinyongshen Road, Binbei, Bincheng District, Binzhou City, Shandong, China Valid upto 06th Aug.2018 (by M/s Krishi Rasayan
Export Pvt.Ltd.)","9.     HPM Chemicals & Fertilizers Ltd., 95.0% min, 9(4)."
"Aureofungin,",141,,
"Azoxystrobin Technical 97% min, 95% min, 96% min, 96.5% w/w min.",,"1.  Shangyu Nutrichem Co. Ltd. No. 9, Wejin Rd., Hangzhou Bay Shangyu Industrial Area, Zhejiang 312 369, China through
Supplier Nutrichem Company
Ltd., building D01, No 66","1.  Coromondel International Ltd., Secunderabad, 93.0 % Min, TIMvsTI 9(3)
2.  Cheminova India Ltd., Mumbai 9(3)
3.  Excel Crop Care Ltd., Mumbai 9(3)
4.  Bhagiradha Chemicals & Industries Ltd., [purity 95% min. u/s 9(4)]
5.  Indofil Industries Ltd., Fl 96.5% min. (TIM vs TIT) under"
,,"XIXAOKOU road, Haidian dist. Beijing China Valid upto 22.04.2018 (by M/S Dhanuka Agritech. Ltd.)
2.  Ziangsu Pesticides Research Institute Co. Ltd., No. 269, Changfenghe Road, Nanjing Chemical Industry Park, Luhe Dist. Nanjing China through
Supplier: Pioneer Fortune International Ltd., Room 1318- 20, 13/F Hollywood Plaza, 610 Nathan Road Monglok Kowloon, Hong Kong valid upto 28.05.2018 (By M/s Crystal Crop Protection Pvt.
Ltd., Delhi).","section 9(3).
6.  M/s Insecticides India Ltd., 95% w/w min. under section 9(4) TIM. in 395th RC
7.  M/s Gharda Chemicals Ltd., 96% min. 9(4), in 405th RC"
"Azoxystrobin Technical & 23% SC (FI) 96.5%*
Azoxystrobin 7.1% +
Propiconazole 11.9% w/w SE**",601,"1.     Syngenta Ltd, Grangemouth Mfg. Center, United Kingdom
2.     *M/s ADAMA Makhteshim Ltd. (Formerly known as Makhteshim Chemicals Work Ltd.) P.O. Box 60 Industrial Zone Beer Sheva, 84400, Isreal. 96,5 % Min (ByM/s ADAMA Ma khteshim Ltd. Hyd.)
3.     **M/s. Adama Makhteshim
Ltd, PO Box 60, Industrial",
,,"zone, Beer Sheva, 84100, Israel
Supplier M/s Adama Celsius BV Curacao Branch, Pos Cabai Office Park Unit 13,
P.O. Box-403, Curacao (By
M/s ADAMA India Pvt. Ltd.)",
Azimsulfuron 50% DF [Without Registering Technical(WRT)],742,"DuPont de Nemours (France) S.A.S.82, Cerney Cedex France through Du Pont International Operations,
Geneva, Switzerland",---
Barium Carbonate,8,To be informed.,
Bendiocarb Technical 96% min.,355,Bayer CropScience USA.,
Benfuracarb Technical 96% min.,413,"Otsuka Chemical Co., Japan","Coromondel International Ltd., Secunderabad"
Bensulfuron Methyl Technical 96% min,444,"DuPont Agricultural Chemicals Ltd., Shangai,
P.R. China through supplier DuPont Company Singapore
Pvt. Ltd., Singapore.",
Bensulfuron Methyl 60% DF,444,"DuPont Nemours Australia, 179 Magowor Road, Girraween NSW, Australia 2145  through Supplier DuPont Company Singapore Pvt. Ltd., 1, Harbour Trust Place, 11-01,Harbour trust, Tower One, Singapore -
098633",
"Bentazone 480 gm/l SL,",142,"1.  BASF SE, Carl-Bosch- Strausse 38, 67056 Ludwigsfen, Germany (regd by M/s. BASF India in 362 RC)",
Bentazone Technical 96% w/w min.,,"1.   M/s BASF SE, Carl-Bosch- Strase 38, 67056 Ludwigshafen, Germany (By- M/s BASF India Pvt.
Ltd., 96% min. in 392nd RC)",
Benomyl Technical 95% min.,150,"1.      M/s E.I. Dupont de numours Co., Inc. USA
2.     Taicang Pesticide Factory, Jiangsu, China. Supplier - Jiangasu Jiatai Chemical company Ltd., Nanging,
China",
Bensulfuron Methyl Technical 96% min. w/w,,"1.   M/s Shijiazhuang Richem Co. Ltd. No. 148, Yuhua Road, Chang An District,
Shijiazhuang, China through Supplier –Do-
. (validity- upto 30 July 2022), (by M/s Crystal Crop Protection Pvt. Ltd., Delhi,
96% min.  in 388th RC)",-
Beta-cyfluthrin Technical 96.5% min,561,"1.     Mitchell Cotts Chemicals Ltd., P.O. Box No. 6, Mir field, West Yorkshire INF148QB, United Kingdom
2.     Bayer Crop Science AG,",
,,"Germany., change to (M/s Bayer AG, Germany), ( By M/s  Bayer CropScience Ltd. 96.5% in 392nd RC )",
Benthiocarb Technical 93% min. (Thiobencarb),331,"Kumaiai Chemical Industries Co. Ltd.,   Japan",
Bifenazate 50 % WP & 22.6 SC,651,"Chemtura USA Corporation, 364 Fitzgerald Highway, Ocilla, GA 31774 - USA",
